Habilidad,Empleadores que la consideran importante,Sector Prioritario,Tendencia
Inteligencia Artificial,93,"Automotriz, Telecomunicaciones",Creciente
Big Data,90,"Finanzas, Telecomunicaciones",Creciente
Pensamiento Creativo,77,"Seguros, Pensiones",Creciente
Resiliencia,73,"Agricultura, Salud",Estable
Ciberseguridad,73,Multisectorial,Creciente
Liderazgo Social,70,"Seguros, Pensiones",Creciente
Colaboracion Digital,68,Servicios profesionales,Creciente
Analisis Critico,65,"Educacion, Gobierno",Estable
Comunicación Efectiva,63,Todas,Permanente
Adaptabilidad,62,"Agricultura, Servicios",Estable
